timestamp,temp.air.ambient.c,par.ambient.umol_m2_s,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol
2021-03-25 00:04:20,8.042608,-3.647035,10.51673,404.8344
2021-03-25 00:04:22,8.069513,-3.647035,10.53037,406.1984
2021-03-25 00:04:24,8.105085,-3.282332,10.51673,405.6528
2021-03-25 00:04:26,8.075925,-3.282332,10.44853,406.5258
2021-03-25 00:04:28,8.066204,-4.011738,10.42125,406.553
2021-03-25 00:04:30,8.067317,-4.011738,10.42125,406.1984
2021-03-25 00:04:32,8.059823,-4.011738,10.39397,405.7892
2021-03-25 00:04:34,8.105085,-3.647035,10.40761,405.0526
2021-03-25 00:04:36,8.086727,-3.647035,10.43489,405.9256
2021-03-25 00:04:38,8.07812,-3.647035,10.42125,405.1071
2021-03-25 00:04:40,8.077038,-4.011738,10.46217,405.4891
2021-03-25 00:04:42,8.059823,-4.011738,10.46217,405.9529
2021-03-25 00:04:44,8.068431,-3.282332,10.44853,406.1984
2021-03-25 00:04:46,8.094253,-4.011738,10.47581,405.4618
2021-03-25 00:04:48,8.068431,-3.647035,10.47581,405.9801
2021-03-25 00:04:50,8.085645,-4.011738,10.46217,405.5982
2021-03-25 00:04:52,8.075925,-4.011738,10.47581,405.5982
2021-03-25 00:04:54,8.088044,-4.011738,10.47581,405.8164
2021-03-25 00:04:56,8.04899,-3.282332,10.47581,405.9256
2021-03-25 00:04:58,8.059823,-4.011738,10.47581,405.5164
2021-03-25 00:05:00,8.085645,-3.647035,10.47581,405.7619
2021-03-25 00:05:02,8.07812,-3.282332,10.44853,406.0347
2021-03-25 00:05:04,8.064653,-3.647035,10.47581,406.6621
2021-03-25 00:05:06,8.045008,-4.011738,10.47581,405.4072
2021-03-25 00:05:08,8.067317,-4.011738,10.48945,404.6434
2021-03-25 00:05:10,8.094253,-4.376442,10.50309,405.7073
2021-03-25 00:05:12,8.084532,-4.011738,10.50309,405.5164
2021-03-25 00:05:14,8.078353,-4.741146,10.54402,405.4072
2021-03-25 00:05:16,8.066204,-4.011738,10.53037,406.1438
2021-03-25 00:05:18,8.004837,-3.282332,10.53037,406.3621
2021-03-25 00:05:20,8.059823,-3.282332,10.51673,406.1984
2021-03-25 00:05:22,8.023167,-4.376442,10.53037,405.4345
2021-03-25 00:05:24,8.051451,-3.647035,10.51673,405.4891
2021-03-25 00:05:26,8.042608,-4.011738,10.51673,405.9256
2021-03-25 00:05:28,8.052299,-3.647035,10.50309,405.7619
2021-03-25 00:05:30,8.041495,-4.011738,10.53037,404.5615
2021-03-25 00:05:32,8.067317,-3.282332,10.53037,406.2529
2021-03-25 00:05:34,8.050103,-4.011738,10.50309,405.1617
2021-03-25 00:05:36,8.067317,-4.741146,10.48945,405.3799
2021-03-25 00:05:38,8.050103,-4.011738,10.51673,406.2256
2021-03-25 00:05:40,8.07326,-4.376442,10.50309,405.7073
2021-03-25 00:05:42,8.057597,-4.741146,10.53037,405.3254
2021-03-25 00:05:44,8.053617,-4.376442,10.50309,406.5258
2021-03-25 00:05:46,8.05871,-4.376442,10.53071,405.9274
2021-03-25 00:05:48,8.042578,-4.011738,10.51707,405.5454
2021-03-25 00:05:50,8.031775,-4.376442,10.53071,405.3271
2021-03-25 00:05:52,8.022054,-4.011738,10.53071,405.7091
2021-03-25 00:05:54,8.023167,-4.011738,10.48979,405.5181
2021-03-25 00:05:56,8.008381,-4.376442,10.46251,405.6
2021-03-25 00:05:58,8.007063,-4.011738,10.43523,405.4363
2021-03-25 00:06:00,8.015671,-4.011738,10.47615,405.7637
2021-03-25 00:06:02,8.024483,-3.647035,10.46251,405.4908
2021-03-25 00:06:04,8.014559,-4.011738,10.44887,406.3093
2021-03-25 00:06:06,8.010811,-3.647035,10.47615,405.2453
2021-03-25 00:06:08,8.050103,-3.647035,10.47615,406.091
2021-03-25 00:06:10,8.013445,-4.011738,10.47615,405.409
2021-03-25 00:06:12,8.016989,-3.647035,10.46251,405.6273
2021-03-25 00:06:14,8.039269,-4.011738,10.50343,405.9274
2021-03-25 00:06:16,8.050103,-4.011738,10.51707,405.5454
2021-03-25 00:06:18,8.047877,-4.011738,10.53071,405.5454
2021-03-25 00:06:20,8.040382,-4.011738,10.53071,405.2726
2021-03-25 00:06:22,8.067317,-3.647035,10.50343,404.727
2021-03-25 00:06:24,8.050306,-4.011738,10.50343,406.1729
2021-03-25 00:06:26,8.077007,-3.647035,10.53071,405.0271
2021-03-25 00:06:28,8.074813,-4.376442,10.51707,404.9452
2021-03-25 00:06:30,8.066204,-4.011738,10.50343,405.3271
2021-03-25 00:06:32,8.08342,-3.282332,10.50343,405.6545
2021-03-25 00:06:34,8.066204,-4.011738,10.48979,405.218
2021-03-25 00:06:36,8.050103,-4.376442,10.50343,405.7637
