timestamp,RECORD,batt_volt,PTemp,TcRafat(1),TcRafat(2),TcRafat(3),TcRafat(4),TcRafat(5),TcRafat(6)
2020-08-15 19:42:54,90281,12.52017,32.62336,22.41966,22.99409,22.75626,22.7295,25.96005,27.10118
2020-08-15 19:42:56,90282,12.51462,32.58721,22.39776,23.04078,22.83159,22.773,26.01317,26.9818
2020-08-15 19:42:58,90283,12.53684,32.62336,22.4129,23.07582,22.88338,22.80806,25.97825,27.1311
2020-08-15 19:43:00,90284,12.50906,32.58721,22.41294,23.11607,22.98892,22.79132,25.97825,27.0947
2020-08-15 19:46:50,90399,12.50926,32.47651,22.36982,22.86384,23.12641,23.04792,25.611,26.98886
2020-08-15 19:46:52,90400,12.50371,32.47651,22.48709,22.89567,23.19011,23.0344,25.57615,27.02362
2020-08-15 19:46:54,90401,12.54815,32.51265,22.60433,22.99447,23.21678,23.03119,25.59436,27.00546
2020-08-15 19:46:56,90402,12.54815,32.47651,22.63782,23.06301,23.3004,23.02118,25.62608,27.0734
2020-08-15 19:46:58,90403,12.50926,32.47651,22.66452,23.01446,23.26695,23.08138,25.6811,27.03035
2020-08-15 19:47:00,90404,12.50926,32.47651,22.71317,23.07302,23.23351,23.11484,25.79916,27.05524
2020-08-15 19:47:02,90405,12.50926,32.47651,22.81362,23.20005,23.28368,23.07302,25.91211,27.03865
2020-08-15 19:47:04,90406,12.50371,32.51265,22.8471,23.22033,23.33709,23.10648,25.84239,26.97894
2020-08-15 19:47:06,90407,12.4926,32.47651,22.90568,23.22708,23.31713,23.17339,25.88717,27.03865
2020-08-15 19:47:08,90408,12.53148,32.47651,22.89731,23.10841,23.29718,23.13157,25.94538,27.02873
2020-08-15 19:47:10,90409,12.53704,32.51265,22.79206,23.10324,23.25377,23.09132,25.88554,27.03865
2020-08-15 19:47:12,90410,12.52037,32.47651,22.76498,23.09647,23.21357,23.00285,25.9572,27.08013
2020-08-15 19:47:14,90411,12.54815,32.51265,22.72827,23.07138,23.23705,23.03792,25.91916,27.0568
2020-08-15 19:47:16,90412,12.53704,32.51265,22.67643,23.10484,23.14506,23.00285,25.92393,27.05524
2020-08-15 19:47:18,90413,12.54259,32.47651,22.61271,23.12321,23.15342,23.00284,25.98055,27.05362
2020-08-15 19:47:20,90414,12.51482,32.47651,22.57921,23.06816,23.1116,22.9993,25.92234,26.98565
2020-08-15 19:47:22,90415,12.52593,32.47651,22.57756,23.08651,23.19363,22.95265,25.86255,26.97064
2020-08-15 19:47:24,90416,12.52037,32.47651,22.55921,23.12992,23.13668,22.99772,25.88235,27.03513
2020-08-15 19:47:26,90417,12.53704,32.47651,22.54763,23.11996,23.05465,22.92754,25.84908,27.01883
2020-08-15 19:47:28,90418,12.53148,32.51265,22.49902,23.03631,23.04468,22.95265,25.84076,26.96906
2020-08-15 19:47:30,90419,12.51482,32.51265,22.48545,23.07459,22.99965,22.90244,25.86255,27.01694
2020-08-15 19:47:32,90420,12.52593,32.47651,22.49382,23.05984,22.96938,22.90244,25.8574,26.91608
2020-08-15 19:47:34,90421,12.53704,32.51265,22.47547,23.12321,22.93434,22.88894,25.88428,26.97735
2020-08-15 19:47:36,90422,12.52037,32.47651,22.5357,23.19169,22.99608,22.91918,25.94538,27.00384
2020-08-15 19:47:38,90423,12.52593,32.47651,22.61462,23.26695,23.04147,22.9591,25.91083,27.02362
2020-08-15 19:47:40,90424,12.53148,32.47651,22.70316,23.14506,23.04984,22.90923,25.98726,27.04374
2020-08-15 19:47:42,90425,12.53704,32.47651,22.7634,23.1116,23.04311,22.93591,25.98569,27.00225
2020-08-15 19:47:44,90426,12.50926,32.47651,22.81875,23.07814,23.12833,22.96102,25.89229,27.02714
2020-08-15 19:47:46,90427,12.53148,32.47651,22.82035,23.00801,23.18011,22.93272,25.88907,27.08843
2020-08-15 19:47:48,90428,12.50926,32.47651,22.82712,23.09811,23.23385,22.95746,25.79279,27.06192
2020-08-15 20:04:04,90916,12.53725,32.04273,22.0913,22.70597,22.78131,22.74623,25.54554,26.98375
2020-08-15 20:04:06,90917,12.52614,32.04273,22.08448,22.68606,22.74783,22.73785,25.54396,27.05472
2020-08-15 20:04:08,90918,12.50948,32.04273,22.04939,22.74466,22.73946,22.73946,25.56429,27.05472
2020-08-15 20:04:10,90919,12.53725,32.04273,22.05256,22.72271,22.77134,22.72792,25.58925,27.04801
2020-08-15 20:04:12,90920,12.51504,32.04273,22.02581,22.70437,22.73785,22.78651,25.4841,27.13927
2020-08-15 20:04:14,90921,12.51504,32.04273,21.99919,22.72792,22.72948,22.70955,25.44776,27.05317
2020-08-15 20:04:16,90922,12.51504,32.04273,22.10602,22.81837,22.74466,22.74466,25.38104,27.05327
2020-08-15 20:04:18,90923,12.50393,32.04273,22.08448,22.83673,22.75303,22.81319,25.466,26.95886
2020-08-15 20:04:20,90924,12.52614,32.04273,22.16469,22.97219,22.77134,22.76827,25.42584,27.04487
2020-08-15 20:04:22,90925,12.52614,32.04273,22.17723,22.94708,22.72948,22.72792,25.48093,26.94014
2020-08-15 20:04:24,90926,12.53725,32.04273,22.19821,22.97062,22.72111,22.7546,25.45913,27.02828
2020-08-15 20:04:26,90927,12.5317,32.04273,22.23227,22.95239,22.7546,22.75153,25.44249,27.03667
2020-08-15 20:04:28,90928,12.52059,32.04273,22.20544,22.93553,22.76827,22.75821,25.38265,27.05472
2020-08-15 20:04:30,90929,12.52059,32.04273,22.21858,22.93715,22.76977,22.75936,25.36439,27.08433
2020-08-15 20:04:32,90930,12.52614,32.04273,22.17668,22.87695,22.76297,22.74984,25.35923,26.99031
2020-08-15 20:04:34,90931,12.53725,32.04273,22.15672,22.90218,22.76773,22.72629,25.50234,27.01998
2020-08-15 20:04:36,90932,12.5317,32.04273,22.13852,22.88174,22.74466,22.7546,25.62254,27.00022
2020-08-15 20:04:38,90933,12.51504,32.04273,22.2102,22.84028,22.71955,22.6798,25.54081,27.06976
2020-08-15 20:04:40,90934,12.51504,32.04273,22.29918,22.84878,22.72792,22.70648,25.53249,27.0666
2020-08-15 20:04:42,90935,12.52614,32.00884,22.38139,22.70648,22.70118,22.71329,25.44925,27.04009
2020-08-15 20:04:44,90936,12.51504,32.04273,22.43801,22.73997,22.75779,22.73466,25.61885,26.98363
2020-08-15 20:04:46,90937,12.52059,32.04273,22.43852,22.683,22.7028,22.7231,25.54914,27.07489
2020-08-15 20:04:48,90938,12.50393,32.04273,22.49504,22.76297,22.70955,22.71636,25.52255,27.06815
2020-08-15 20:04:50,90939,12.50393,32.04273,22.46835,22.82367,22.74303,22.7614,25.53564,27.08949
2020-08-15 20:04:52,90940,12.51504,32.04273,22.46684,22.83354,22.70955,22.7546,25.47937,27.03813
2020-08-15 20:04:54,90941,12.49265,32.00884,22.41499,22.80865,22.7013,22.72319,25.51126,27.02677
2020-08-15 20:04:56,90942,12.53154,32.00884,22.39145,22.82539,22.74472,22.76827,25.50757,27.04859
2020-08-15 20:04:58,90943,12.53154,32.04273,22.31763,22.71961,22.72482,22.74792,25.51274,26.96868
2020-08-15 20:05:00,90944,12.52598,32.04273,22.23067,22.69133,22.74472,22.74472,25.44454,26.90901
2020-08-15 20:05:02,90945,12.50932,32.00884,22.20249,22.75469,22.7013,22.73795,25.41639,26.99199
2020-08-15 20:18:06,91337,12.5259,31.68576,21.88847,22.49339,22.26722,22.11482,25.066,27.06278
2020-08-15 20:18:08,91338,12.51479,31.72191,22.01282,22.4667,22.28397,22.07291,25.06445,27.013
2020-08-15 20:18:10,91339,12.53146,31.68576,22.09283,22.55045,22.33608,22.12476,25.24945,27.03477
