timestamp,temp.air.ambient.c,par.ambient.umol_m2_s1,conc.h2o.irga.ambient.mmol_mol,conc.co2.irga.ambient.umol_mol,P.irga.kPa
2022-01-12 00:06:54,9.979547,0.7291244,6.643928,413.0286,94.02455
2022-01-12 00:06:56,9.97,0.7291244,6.65757,413.0832,94.0191
2022-01-12 00:06:58,10.00526,1.093687,6.643928,413.1378,94.02455
2022-01-12 00:07:00,10.02143,0.7291244,6.65757,413.6835,94.02455
2022-01-12 00:07:02,10.03097,0.7291244,6.65757,412.7012,94.02455
2022-01-12 00:07:04,9.970975,0.0,6.65757,413.1924,94.02455
2022-01-12 00:07:06,9.953833,0.3645622,6.65757,413.1924,94.02455
2022-01-12 00:07:08,9.94328,0.0,6.65757,413.6835,94.02455
2022-01-12 00:07:10,9.996614,-0.3645642,6.643928,414.1746,94.02455
2022-01-12 00:07:12,10.05661,-0.3645642,6.65757,412.2646,94.02455
2022-01-12 00:07:14,10.08232,0.0,6.65757,413.2469,94.01364
2022-01-12 00:07:16,10.09088,0.0,6.630285,413.8472,94.01364
2022-01-12 00:07:18,10.12609,0.0,6.643928,412.5375,94.02455
2022-01-12 00:07:20,10.04705,0.0,6.643928,413.0013,94.01364
2022-01-12 00:07:22,10.01469,0.3645642,6.643928,412.9195,94.0191
2022-01-12 00:07:24,9.952769,0.0,6.643928,413.3015,94.0191
2022-01-12 00:07:26,9.953759,0.0,6.643928,413.1924,94.02455
2022-01-12 00:07:28,9.928043,0.7291285,6.643928,413.1924,94.02455
2022-01-12 00:07:30,9.919472,0.7291285,6.65757,413.0286,94.0191
2022-01-12 00:07:32,9.867047,-0.3645642,6.65757,413.4106,94.02455
2022-01-12 00:07:34,9.921378,0.7291285,6.65757,412.6466,94.02455
2022-01-12 00:07:36,9.936615,0.7291285,6.643928,413.9563,94.0191
2022-01-12 00:07:38,9.91183,0.7291285,6.630285,413.6835,94.0191
2022-01-12 00:07:40,9.919472,0.3645642,6.643928,414.0109,94.02455
2022-01-12 00:07:42,9.91183,0.3645642,6.630285,411.8827,94.01364
2022-01-12 00:07:44,9.945187,0.7291285,6.65757,413.6835,94.0191
2022-01-12 00:07:46,9.928043,-0.3645642,6.65757,413.738,94.02455
2022-01-12 00:07:48,9.936615,0.0,6.643928,413.738,94.02455
2022-01-12 00:07:50,9.902328,-0.3645642,6.65757,413.738,94.01364
2022-01-12 00:07:52,9.929951,-0.3645642,6.65757,413.9563,94.0191
2022-01-12 00:07:54,9.920402,0.7291285,6.65757,413.9563,94.01364
2022-01-12 00:07:56,9.895661,0.0,6.643928,412.7012,94.01364
2022-01-12 00:07:58,9.894685,0.3645642,6.630285,413.2469,94.01364
2022-01-12 00:08:00,9.87754,0.7291285,6.643928,414.0655,94.01364
2022-01-12 00:08:02,9.878516,0.0,6.643928,413.0286,94.02455
2022-01-12 00:08:04,9.85089,0.3645642,6.643928,413.4106,94.0191
2022-01-12 00:08:06,9.879491,0.3645642,6.65757,413.4106,94.01364
2022-01-12 00:08:08,9.860394,-0.7291285,6.65757,413.8472,94.01364
2022-01-12 00:08:10,9.895661,0.7291285,6.65757,413.4106,94.01364
2022-01-12 00:08:12,9.860394,0.7291285,6.643928,412.4556,94.0191
2022-01-12 00:08:14,9.91183,0.3645642,6.65757,413.3015,94.0191
2022-01-12 00:08:16,9.921378,0.7291285,6.65757,414.0655,94.01364
2022-01-12 00:08:18,9.929951,0.7291285,6.643928,412.7558,94.01364
2022-01-12 00:08:20,9.910899,-0.3645642,6.643928,413.1378,94.01364
2022-01-12 00:08:22,9.964236,0.7291285,6.630285,413.1924,94.01364
2022-01-12 00:08:24,9.953759,0.3645642,6.65757,413.5198,94.01364
2022-01-12 00:08:26,9.964236,0.0,6.65757,412.9741,94.01364
2022-01-12 00:08:28,9.903257,-0.3645642,6.630285,414.4474,94.01364
2022-01-12 00:08:30,9.87754,0.7291285,6.630285,413.6289,94.01364
2022-01-12 00:08:32,9.886113,0.3645642,6.643928,413.4106,94.01364
2022-01-12 00:08:34,9.895661,0.0,6.630285,413.6289,94.01364
2022-01-12 00:08:36,9.860394,-0.3645642,6.643928,414.4474,94.01364
2022-01-12 00:08:38,9.887089,0.0,6.616642,413.738,94.01364
2022-01-12 00:08:40,9.912806,0.0,6.630285,412.8922,94.01364
2022-01-12 00:08:42,9.903257,0.0,6.643928,412.8649,94.01364
2022-01-12 00:08:44,9.887089,-0.3645642,6.603,413.356,94.01364
2022-01-12 00:08:46,9.834675,-0.3645642,6.630285,414.3383,94.01364
2022-01-12 00:08:48,9.83565,-0.3645642,6.643928,413.6835,94.01364
2022-01-12 00:08:50,9.818503,0.0,6.630285,413.3015,94.01364
2022-01-12 00:08:52,9.792782,0.0,6.643928,413.3288,94.01364
2022-01-12 00:08:54,9.774657,-0.3645642,6.630285,413.1924,94.01364
2022-01-12 00:08:56,9.784207,-0.3645642,6.630285,412.7012,94.01364
2022-01-12 00:08:58,9.757507,-0.3645642,6.630285,413.0286,94.0191
2022-01-12 00:09:00,9.759459,0.3645642,6.643928,413.5743,94.01364
2022-01-12 00:09:02,9.742373,0.0,6.630285,413.7926,94.01364
2022-01-12 00:09:04,9.69852,0.0,6.643928,413.1924,94.01364
2022-01-12 00:09:06,9.689943,-0.3645631,6.630285,413.9563,94.01364
2022-01-12 00:09:08,9.647062,0.3645631,6.643928,413.738,94.01364
2022-01-12 00:09:10,9.672792,0.0,6.643928,413.3015,94.01364
2022-01-12 00:09:12,9.612755,0.3645631,6.630285,413.3015,94.01364
2022-01-12 00:09:14,9.630886,0.3645631,6.630285,413.8472,94.01364
2022-01-12 00:09:16,9.622309,-0.3645631,6.616642,414.6112,94.01364
2022-01-12 00:09:18,9.622309,-0.3645631,6.630285,413.6289,94.01364
2022-01-12 00:09:20,9.578445,0.7291263,6.616642,413.1924,94.01364
2022-01-12 00:09:22,9.605154,0.0,6.630285,413.5743,94.01364
2022-01-12 00:09:24,9.596578,-0.3645631,6.616642,414.4474,94.01364
2022-01-12 00:09:26,9.596578,0.0,6.630285,413.1378,94.01364
2022-01-12 00:09:28,9.604178,-0.3645631,6.643928,413.4106,94.01364
2022-01-12 00:09:30,9.613731,0.0,6.643928,413.6289,94.01364
2022-01-12 00:09:32,9.612755,0.3645631,6.616642,413.0832,94.01364
2022-01-12 00:09:34,9.596578,0.0,6.65757,414.0109,94.01364
2022-01-12 00:09:36,9.569867,0.3645631,6.630285,413.4106,94.01364
2022-01-12 00:09:38,9.552711,0.3645631,6.630285,413.0832,94.01364
2022-01-12 00:09:40,9.623285,-0.3645631,6.616642,413.5198,94.01364
2022-01-12 00:09:42,9.605154,-0.3645631,6.630285,413.2742,94.01364
2022-01-12 00:09:44,9.639462,-0.3645631,6.643928,414.0928,94.01364
2022-01-12 00:09:46,9.613731,0.3645631,6.616642,413.3288,94.01364
2022-01-12 00:09:48,9.632824,-0.3645631,6.616642,413.0832,94.01364
2022-01-12 00:09:50,9.62991,-0.3645631,6.630285,413.4106,94.01364
