timestamp,temp.air.ambient.c,par.ambient.umol_m2_s,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol,P.irga.kPa
2021-04-01 00:04:28,8.413838,-1.458815,11.07495,409.7393,93.95553
2021-04-01 00:04:30,8.342824,-2.188223,10.96584,409.5211,93.95553
2021-04-01 00:04:32,8.417845,-1.458815,10.96584,408.8664,93.96098
2021-04-01 00:04:34,8.399497,-1.458815,10.96584,409.3301,93.96645
2021-04-01 00:04:36,8.350313,-2.552926,10.96584,408.9482,93.95553
2021-04-01 00:04:38,8.382294,-2.188223,10.9522,409.03,93.96098
2021-04-01 00:04:40,8.409243,-1.458815,10.96584,408.2117,93.95553
2021-04-01 00:04:42,8.393153,-2.188223,10.97948,409.6302,93.95553
2021-04-01 00:04:44,8.355373,-1.823519,11.0204,409.1937,93.95553
2021-04-01 00:04:46,8.349029,-1.823519,11.0204,409.3028,93.95553
2021-04-01 00:04:48,8.320962,-2.188223,11.03404,408.3754,93.95553
2021-04-01 00:04:50,8.367347,-1.458815,11.04768,409.7665,93.95553
2021-04-01 00:04:52,8.347884,-2.188223,11.0204,408.0753,93.96098
2021-04-01 00:04:54,8.346771,-1.823519,11.04768,408.9755,93.95553
2021-04-01 00:04:56,8.347884,-1.823519,11.04768,408.4845,93.96098
2021-04-01 00:04:58,8.358916,-2.188223,11.04768,409.2483,93.96645
2021-04-01 00:05:00,8.373692,-1.823519,11.04768,409.4119,93.95007
2021-04-01 00:05:02,8.383438,-1.823519,11.06131,408.9209,93.95553
2021-04-01 00:05:04,8.427561,-1.823519,11.03404,408.3481,93.96098
2021-04-01 00:05:06,8.362864,-2.188223,11.04768,409.4119,93.95553
2021-04-01 00:05:08,8.382294,-1.458815,11.06131,408.2935,93.95553
2021-04-01 00:05:10,8.419129,-1.823519,11.04768,408.048,93.96098
2021-04-01 00:05:12,8.4167,-2.188223,11.06131,408.8391,93.95553
2021-04-01 00:05:14,8.4167,-2.188223,11.10223,408.8391,93.96098
2021-04-01 00:05:16,8.410528,-2.552926,11.11587,408.7573,93.96098
2021-04-01 00:05:18,8.408099,-2.188223,11.11587,408.2117,93.95553
2021-04-01 00:05:20,8.417845,-1.094111,11.07495,408.1571,93.96098
2021-04-01 00:05:22,8.425303,-2.188223,11.08859,408.1299,93.95553
2021-04-01 00:05:24,8.382294,-1.823519,11.06131,408.4299,93.96098
2021-04-01 00:05:26,8.409243,-2.188223,11.07495,408.9482,93.96098
2021-04-01 00:05:28,8.4167,-2.188223,11.10223,409.03,93.95553
