timestamp,RECORD,FlowMeter(1),FlowMeter(2)
2022-01-10 04:45:02,1662640,6.989084,3.584583
2022-01-10 04:45:04,1662641,6.999999,3.632332
2022-01-10 04:45:06,1662642,6.995905,3.550477
2022-01-10 04:45:08,1662643,6.974078,3.673259
2022-01-10 04:45:10,1662644,6.945428,3.543655
2022-01-10 04:45:12,1662645,6.994541,3.598226
2022-01-10 04:45:14,1662646,6.946793,3.656206
2022-01-10 04:45:16,1662647,6.948157,3.506138
2022-01-10 04:45:18,1662648,6.939971,3.605047
2022-01-10 04:45:20,1662649,6.975442,3.639153
2022-01-10 04:45:22,1662650,6.945428,3.489085
2022-01-10 04:45:24,1662651,6.978171,3.632332
2022-01-10 04:45:26,1662652,6.959071,3.594815
2022-01-10 04:45:28,1662653,6.935879,3.550477
2022-01-10 04:45:30,1662654,6.963164,3.543655
2022-01-10 04:45:32,1662655,6.99727,3.560709
2022-01-10 04:45:34,1662656,6.946793,3.652796
2022-01-10 04:45:36,1662657,6.967257,3.56753
2022-01-10 04:45:38,1662658,6.980899,3.560709
2022-01-10 04:45:40,1662659,6.941336,3.666438
2022-01-10 04:45:42,1662660,6.935879,3.533423
2022-01-10 04:45:44,1662661,6.989084,3.611868
2022-01-10 04:45:46,1662662,6.950886,3.67667
2022-01-10 04:45:48,1662663,6.978171,3.506138
2022-01-10 04:45:50,1662664,6.950886,3.632332
2022-01-10 04:45:52,1662665,6.95225,3.632332
2022-01-10 04:45:54,1662666,6.954978,3.478853
2022-01-10 04:45:56,1662667,6.963164,3.628921
2022-01-10 04:45:58,1662668,6.937243,3.615279
2022-01-10 04:46:00,1662669,6.960435,3.553887
2022-01-10 04:46:02,1662670,6.964528,3.635742
2022-01-10 04:46:04,1662671,6.935879,3.564119
2022-01-10 04:46:06,1662672,6.937243,3.62551
2022-01-10 04:46:08,1662673,6.959071,3.632332
2022-01-10 04:46:10,1662674,6.945428,3.574351
2022-01-10 04:46:12,1662675,6.964528,3.693723
2022-01-10 04:46:14,1662676,6.959071,3.584583
2022-01-10 04:46:16,1662677,6.9427,3.587994
2022-01-10 04:46:18,1662678,6.922236,3.693723
2022-01-10 04:46:20,1662679,6.974078,3.564119
2022-01-10 04:46:22,1662680,6.964528,3.632332
2022-01-10 04:46:24,1662681,6.937243,3.686902
