timestamp,Tc(1),Tc(2),Tc(3),Tc(4),Tc(5),Tc(6)
2022-01-11 09:12:00,14.7366,14.43828,12.73433,12.49921,,20.75857
2022-01-11 09:13:00,14.78794,14.52869,12.66375,12.49368,,20.75143
2022-01-11 09:14:00,14.82953,14.5671,12.69933,12.42693,,20.77691
2022-01-11 09:15:00,14.06157,14.37587,12.74688,12.46591,,20.76417
2022-01-11 09:16:00,13.65734,13.74294,12.69079,12.50364,,20.75846
2022-01-11 09:17:00,13.57625,13.58104,12.65604,12.44395,,20.77528
2022-01-11 09:18:00,13.5804,13.55772,12.72107,12.5414,,20.76501
2022-01-11 09:19:00,13.57522,13.52924,12.54693,12.33114,,20.75766
2022-01-11 09:20:00,13.44827,13.41546,12.74132,12.50066,,20.77546
2022-01-11 09:21:00,13.30565,13.2685,12.63982,12.40697,,20.75498
2022-01-11 09:22:00,13.49199,13.31248,12.59286,12.36737,,20.76856
2022-01-11 09:23:00,13.72712,13.52153,12.68816,12.40185,,20.76596
2022-01-11 09:24:00,13.68639,13.56053,12.5748,12.42722,,20.79733
2022-01-11 09:25:00,14.22914,13.90057,12.94965,12.5943,,20.79194
2022-01-11 09:26:00,14.22783,14.00251,12.93001,12.68924,,20.80221
2022-01-11 09:27:00,14.19091,14.02513,12.88772,12.8354,,20.79632
2022-01-11 09:28:00,14.31223,14.13555,12.97256,12.97149,,20.81263
2022-01-11 09:29:00,14.39302,14.27067,13.03237,13.01293,,20.82995
2022-01-11 09:30:00,14.50715,14.32908,13.03612,13.04384,,20.80896
2022-01-11 09:31:00,14.76751,14.54702,13.10102,13.07332,,20.80628
2022-01-11 09:32:00,14.58553,14.54878,13.14181,13.13085,,20.79541
2022-01-11 09:33:00,15.20316,15.33021,13.181,13.17465,,20.80597
2022-01-11 09:34:00,15.15709,15.47903,13.22174,13.20386,,20.79373
2022-01-11 09:35:00,15.60881,15.98076,13.07582,12.92874,,20.7966
2022-01-11 09:36:00,15.71523,16.14192,13.20429,12.93991,,20.80127
2022-01-11 09:37:00,14.91916,15.34621,13.21617,13.05597,,20.79988
2022-01-11 09:38:00,15.0753,15.49977,12.89275,12.68385,,20.83944
2022-01-11 09:39:00,15.23163,15.78352,12.93895,12.70879,,20.80772
2022-01-11 09:40:00,15.15585,15.66457,13.02575,12.82408,,20.79268
2022-01-11 09:41:00,15.51195,15.9616,13.13485,12.88657,,20.79677
2022-01-11 09:42:00,16.42292,16.91109,13.10843,12.89926,,20.81506
2022-01-11 09:43:00,17.3159,17.84426,13.18836,12.92956,,20.78517
2022-01-11 09:44:00,15.15771,15.85322,13.18836,13.03471,,20.78849
2022-01-11 09:45:00,15.45419,16.20455,13.11241,12.94532,,20.79275
2022-01-11 09:46:00,15.71356,16.59609,12.99134,12.7985,,20.77557
2022-01-11 09:47:00,16.15225,17.19337,12.91029,12.7059,,20.77868
2022-01-11 09:48:00,16.6349,17.51546,13.272,13.02086,,20.77329
2022-01-11 09:49:00,15.83144,16.83787,13.11262,12.8864,,20.75439
2022-01-11 09:50:00,15.65848,16.60759,13.19054,12.84577,,20.75871
2022-01-11 09:51:00,16.9734,17.91369,13.22258,12.86449,,20.73915
2022-01-11 09:52:00,15.88271,16.66966,13.52415,13.09868,,20.74005
2022-01-11 09:53:00,16.01583,16.86127,13.64134,13.34397,,20.73664
2022-01-11 09:54:00,15.8415,16.4423,13.68313,13.62771,,20.74735
2022-01-11 09:55:00,15.73244,16.38305,13.57294,13.72759,,20.73895
2022-01-11 09:56:00,15.66705,16.34492,13.29127,13.33769,,20.75166
2022-01-11 09:57:00,16.02555,16.83014,13.21625,13.16557,,20.72755
2022-01-11 09:58:00,15.75543,16.62218,13.31106,13.17168,,20.75461
2022-01-11 09:59:00,15.79731,16.55576,13.37737,13.18307,,20.72668
2022-01-11 10:00:00,16.03753,16.72112,13.48519,13.27645,,20.72529
2022-01-11 10:01:00,15.67836,16.40108,13.46239,13.22722,,20.71515
2022-01-11 10:02:00,16.48867,16.85721,13.93751,13.70375,,20.72574
2022-01-11 10:03:00,16.05597,16.47038,13.78916,13.67387,,20.72866
2022-01-11 10:04:00,15.70729,16.34536,13.53097,13.36493,,20.73308
2022-01-11 10:05:00,15.40247,15.87202,13.95857,13.69996,,20.73334
2022-01-11 10:06:00,14.47259,14.95941,14.10296,13.75061,,20.73366
2022-01-11 10:07:00,15.60482,15.86628,14.21187,13.85895,,20.75561
2022-01-11 10:08:00,15.86699,15.86781,14.24482,13.66056,,20.76178
2022-01-11 10:09:00,15.81534,15.77456,14.17146,13.68833,,20.76817
2022-01-11 10:10:00,15.78114,15.68188,13.90879,13.48736,,20.74949
2022-01-11 10:11:00,15.72147,15.59079,13.76313,13.57164,,20.76107
2022-01-11 10:12:00,15.6713,15.5437,13.52062,13.36547,,20.76613
2022-01-11 10:13:00,15.61521,15.48605,13.36941,13.16011,,20.77024
2022-01-11 10:14:00,15.57127,15.43741,13.4182,13.23393,,20.77737
2022-01-11 10:15:00,14.26328,14.50927,13.62478,13.20934,,20.78066
2022-01-11 10:16:00,14.07033,14.17493,13.94879,13.60551,,20.799
2022-01-11 10:17:00,13.8068,13.87907,13.42402,13.18418,,20.78415
2022-01-11 10:18:00,13.50974,13.63644,13.46321,13.15894,,20.78501
2022-01-11 10:19:00,13.41542,13.52439,13.1833,12.88174,,20.76224
2022-01-11 10:20:00,13.48982,13.51824,13.67021,13.38518,,20.76753
2022-01-11 10:21:00,13.68361,13.69043,13.77395,13.56744,,20.76159
2022-01-11 10:22:00,13.83298,13.84352,13.9361,13.65211,,20.79932
