timestamp,plot,type,chamber,status,chamber_block,counter,conc.cos.1.pmol_mol,conc.co2.1.umol_mol,conc.co2.2.umol_mol,conc.h2o.mmol_mol,conc.co.nmol_mol,conc.cos.2.pmol_mol,conc.cos.mean.pmol_mol,conc.co2.mean.umol_mol,conc.cos.mean_sd.pmol_mol,conc.co2.mean_sd.umol_mol,temp.air.ambient.c,par.ambient.umol_m2_s1,conc.h2o.irga.ambient.mmol_mol,conc.co2.irga.ambient.umol_mol,P.irga.kPa,par.chb_irr1.umol_m2_s1,par.chb_ctr2.umol_m2_s1,par.chs_irr3.umol_m2_s1,par.chs_ctr4.umol_m2_s1,par.chs_irr5.umol_m2_s1,par.chs_ctr6.umol_m2_s1,temp.leaf.chb_irr1.c,temp.air.chb_irr1.c,temp.leaf.chb_ctr2.c,temp.air.chb_ctr2.c,temp.laserbox.c,pump.flow.chb_irr1.slpm,pump.flow.chb_ctr2.slpm,pump.flow.chs_irr3.slpm,pump.flow.chs_ctr4.slpm,pump.flow.chs_irr5.slpm,pump.flow.chs_ctr6.slpm,day_night,par.current.chamber.umol_m2_s1,temp.leaf.current.chamber.c,temp.soil.current.chamber.c,temp.air.current.chamber.c,pump.flow.current.chamber.slpm,surface.area.m2,pump.flow.unfiltered.current.chamber.slpm,flag,conc.h2o.calibrated.mmol_mol,conc.co2.calibrated.umol_mol
2022-01-13 17:39:53,irr,soil,chs_irr3,cc,168.0,-6,326.1002848231423,460.1087523776815,459.744431602029,9.62026,30.90226,329.14189779270635,327.6210913079243,459.9265919898553,2.150745156523676,0.2576136909910367,10.93926,0.0,8.911979500000001,413.44075,,0.0,0.0,,,,,10.643414,10.742126666666666,10.827671166666667,10.801885666666667,20.961919166666668,,,0.9941596500000001,1.3211140000000001,,,0,,,,,0.9941596500000001,0.017671458676442587,0.9941596500000001,3,,419.30033381295516
2022-01-13 17:39:54,irr,soil,chs_irr3,cc,168.0,-5,333.0007735810255,459.909308226778,459.9031279721019,9.611234,30.58746,332.9836848779819,332.99222922950366,459.90621809943997,0.01208353780382123,0.0043700999909372885,10.94297,0.0,8.918798,413.6044,93.76823,0.0,0.0,,,,,10.643992,10.741999999999999,10.827141,10.801872,20.961945,,,0.9914322,1.322819,,,0,,,,,0.9914322,0.017671458676442587,0.9914322,3,,419.2968406800993
2022-01-13 17:39:55,irr,soil,chs_irr3,cc,168.0,-4,324.27038421990676,459.77407587445845,459.766114868435,9.599551,30.66534,324.2941674664107,324.28227584315874,459.7700953714467,0.01681729488158656,0.005629281344238445,10.952475,0.0,8.918798,413.08619999999996,,0.0,0.0,,,,,10.64457,10.741873333333332,10.826610833333334,10.801858333333334,20.961970833333332,,,0.9927959,1.3006579999999999,,,0,,,,,0.9927959,0.017671458676442587,0.9927959,3,,419.27350224232964
2022-01-13 17:39:56,irr,soil,chs_irr3,cc,168.0,-3,329.7457279956128,459.46652964176275,459.4806709024623,9.620253,30.48897,329.7731227721415,329.75942538387716,459.47360027211255,0.019371032252530177,0.009999381335175734,10.96198,0.0,8.918798,412.568,93.76823,0.0,0.0,,,,,10.645148,10.741746666666666,10.826080666666666,10.801844666666668,20.961996666666668,,,0.9941596,1.278497,,,0,,,,,0.9941596,0.017671458676442587,0.9941596,3,,419.2226677305121
2022-01-13 17:39:57,irr,soil,chs_irr3,cc,168.0,-2,331.1335244721689,459.46652964176275,459.0470055743422,9.619722,31.0592,329.7731227721415,330.4533236221552,459.2567676080525,0.961949267227089,0.2966483129440157,10.96569,0.0,8.918798,412.84074999999996,,0.0,0.0,,,,,10.645726,10.74162,10.8255505,10.801831,20.9620225,,,0.9941596,1.29043,,,0,,,,,0.9941596,0.017671458676442587,0.9941596,3,,419.18549145795873
2022-01-13 17:39:58,irr,soil,chs_irr3,cc,168.0,-1,334.8919821085824,459.1648494135053,459.1576216580366,9.609023,30.72747,334.88202837948995,334.8870052440362,459.16123553577097,0.007038349339361339,0.005110794904679317,10.9694,0.0,8.918798,413.1135,93.76277,0.0,0.0,,,,,10.646304,10.741493333333333,10.825020333333333,10.801817333333334,20.962048333333332,,,0.9941596,1.302363,,,0,,,,,0.9941596,0.017671458676442587,0.9941596,3,,419.1691123465729
2022-01-13 17:39:59,irr,soil,chs_irr3,cc,168.0,0,321.34918494653135,459.268656742048,459.2394314699356,9.566198,30.78382,321.35781738415136,321.35350116534136,459.2540441059918,0.006104055179277662,0.020665388092699195,10.968435,0.0,8.918798,413.75445,,0.0,0.0,,,,,10.646882,10.741366666666666,10.824490166666667,10.801803666666666,20.962074166666667,,,0.99484145,1.3211140000000001,,,0,,,,,0.99484145,0.017671458676442587,0.99484145,3,,419.1850245096078
2022-01-13 17:44:30,amb,soil,amb,amb,169.0,-29,368.47709727173014,424.15224017224983,424.0099895646202,8.269542,57.03062,366.6592644639429,367.56818086783653,424.081114868435,1.2854019054497297,0.10058636928283135,10.84689,0.0,8.973492,413.5509,93.76845,0.0,0.0,,,,,10.59746,10.683900000000001,10.752125,10.704329999999999,20.96854,,,1.003722,2.049038,,,0,,,,,,,,3,,413.1545751328743
2022-01-13 17:44:31,amb,soil,amb,amb,169.0,-28,368.4216030298876,424.0099895646202,423.94326376413403,8.268899,56.31064,368.4771853578283,368.449394193858,423.97662666437714,0.03930264100102213,0.047182266003859934,10.84301,0.0,8.973492,413.1145,,0.0,0.0,,,,,10.59729,10.683542333333333,10.753481500000001,10.706346666666667,20.968443333333333,,,1.002358,2.0354004999999997,,,0,,,,,,,,3,,413.13666047979603
2022-01-13 17:44:32,amb,soil,amb,amb,169.0,-27,366.1225558678366,423.94326376413403,423.93205550565364,8.262207,56.77697,368.4216030298876,367.2720794488621,423.93765963489386,1.625671838553957,0.007925435576778442,10.83913,0.0,8.973492,412.6781,93.76845,0.0,0.0,,,,,10.59712,10.683184666666667,10.754838000000001,10.708363333333333,20.96834666666667,,,1.000994,2.021763,,,0,,,,,,,,3,,413.1299795264676
